time	sample_size	area_occupied	num_segregating	pi	zmar	fstavg	fstmax	% habitat loss	original_num_seg	original_pi	time passed (slim ticks)	% pi	% num_segregating	habitat loss	Time passed (in Generations)
84975	1000	0.5033212466890453	84685	0.000147824734162	0.1735529584697457	0.2261107090709047	0.4923067113331201	60.0	118172	0.000154913177287	100025	95.4242477953521	71.6624919608706	WE_0.6_5	22227.777777777777
79975	1000	0.4934948018105674	62253	0.0001252273329314	0.1871621884301875	0.3670416719487862	0.7199915387658383	60.0	118172	0.000154913177287	105025	80.83710832384355	52.67999187624818	WE_0.6_5	23338.88888888889
74975	1000	0.5016090243994644	56165	0.0001100502504202	0.2029967813782462	0.3484478271744297	0.7302934152937293	60.0	118172	0.000154913177287	110025	71.03995434572704	47.52817926412348	WE_0.6_5	24450.0
69975	1000	0.5042012369923665	52246	9.697095683342682e-05	0.2178723821814148	0.351871918268804	0.750740968592795	60.0	118172	0.000154913177287	115025	62.59697111096851	44.211826828690384	WE_0.6_5	25561.11111111111
64975	1000	0.5036274408407384	50242	8.775355567784746e-05	0.216862749646016	0.3444916153766496	0.8053150083497969	60.0	118172	0.000154913177287	120025	56.6469277918629	42.515993636394406	WE_0.6_5	26672.222222222223
59975	1000	0.5047358219425958	48773	8.125880106053613e-05	0.2378309818788026	0.3288065322059088	0.6493747557639703	60.0	118172	0.000154913177287	125025	52.45441510117112	41.2728903631994	WE_0.6_5	27783.333333333332
54975	1000	0.504363931386585	47205	7.883432472236899e-05	0.2263154888207431	0.3949437082807386	0.8145787784342001	60.0	118172	0.000154913177287	130025	50.889360158378594	39.946010899367025	WE_0.6_5	28894.444444444445
49975	1000	0.501202167882069	47510	7.623254215608471e-05	0.2415007541328087	0.3355644574595551	0.636563250588165	60.0	118172	0.000154913177287	135025	49.20984998897314	40.20410926446197	WE_0.6_5	30005.555555555555
44975	1000	0.506172859945047	46849	7.399732183092288e-05	0.2505930912351658	0.3623213162959048	0.7667328998246532	60.0	118172	0.000154913177287	140025	47.76696413232277	39.64475510273161	WE_0.6_5	31116.666666666668
39975	1000	0.5022746880999915	47261	7.319690491746597e-05	0.2441823177104508	0.3523484593632648	0.6645608080283433	60.0	118172	0.000154913177287	145025	47.25027670296741	39.99339945164675	WE_0.6_5	32227.777777777777
34975	1000	0.5042986400501065	46336	7.1569258599306e-05	0.2699008203521561	0.3667130609563616	0.8373063170441001	60.0	118172	0.000154913177287	150025	46.19959376774847	39.21064211488339	WE_0.6_5	33338.88888888889
29975	1000	0.5028748385377084	44578	6.855943909955601e-05	0.2639401387705575	0.3458284272414971	0.6323326954476494	60.0	118172	0.000154913177287	155025	44.25668642283369	37.722980062959074	WE_0.6_5	34450.0
24975	1000	0.498431581491147	44645	6.756345460230752e-05	0.2618976838316546	0.338883184736881	0.7485482175906683	60.0	118172	0.000154913177287	160025	43.61375564399924	37.779677080865184	WE_0.6_5	35561.11111111111
19975	1000	0.5021023942660209	44076	6.708519931466492e-05	0.260408975478802	0.348956248088198	0.7130687116131617	60.0	118172	0.000154913177287	165025	43.305030914432464	37.29817554073723	WE_0.6_5	36672.22222222222
14975	1000	0.5013080329983068	43620	6.547485768885217e-05	0.2726436872993903	0.3438146924089912	0.7320039754397486	60.0	118172	0.000154913177287	170025	42.265518554015664	36.91229732931659	WE_0.6_5	37783.333333333336
9975	1000	0.5054316988063847	44446	6.613444176589009e-05	0.2684846385851543	0.3094644473926298	0.6696932906559947	60.0	118172	0.000154913177287	175025	42.69129516552751	37.611278475442575	WE_0.6_5	38894.444444444445
4975	1000	0.5021460677712414	44429	6.644510765883673e-05	0.2737079260362564	0.3729770559215662	0.8293782480746352	60.0	118172	0.000154913177287	180025	42.89183710675377	37.596892664929086	WE_0.6_5	40005.555555555555
185000	1000	0.9908704745621548	113245	0.0001564107746623	0.2674009980709405	0.2069921995962114	0.3705825999473026	60.0	117593	0.0001524948909243	0	102.56787864450088	96.30250099920914	WE_0.6_6	0.0
85001	1794	0.9945739695273238	117593	0.0001524948909243	0.2593759820531762	0.2280455914519746	0.4861719859250571	60.0	117593	0.0001524948909243	99999	100.0	100.0	WE_0.6_6	22222.0
85000	1309	0.5027156853597061	86601	0.0001441019138365	0.1873308734336858	0.2403368341294291	0.6581290112685221	60.0	117593	0.0001524948909243	100000	94.49622407876842	73.6446897349332	WE_0.6_6	22222.222222222223
84999	1000	0.4994027974911562	84833	0.0001442426535868	0.1826582621187294	0.2563041967184784	0.7375355049253641	60.0	117593	0.0001524948909243	100001	94.58851553158163	72.14119888088577	WE_0.6_6	22222.444444444445
84975	1000	0.5015669862095243	83877	0.0001447349721861	0.1874437829460762	0.2003948713508228	0.4374496513738887	60.0	117593	0.0001524948909243	100025	94.91135821589452	71.32822531953433	WE_0.6_6	22227.777777777777
79975	1000	0.5026990064230502	62217	0.0001207571949374	0.1862380074532835	0.349647220865574	0.6920577266093845	60.0	117593	0.0001524948909243	105025	79.1876988176247	52.90876157594414	WE_0.6_6	23338.88888888889
74975	1000	0.4988867217461338	55394	0.0001056365632666	0.1979958215271009	0.3732486550913469	0.8450024142926122	60.0	117593	0.0001524948909243	110025	69.27219831845977	47.106545457637786	WE_0.6_6	24450.0
69975	1000	0.500339937828866	52324	9.198666460230716e-05	0.2112266535467439	0.3186132813027529	0.6440537626000624	60.0	117593	0.0001524948909243	115025	60.321145216576646	44.49584584116402	WE_0.6_6	25561.11111111111
64975	1000	0.5021563542471813	49996	8.408706795398468e-05	0.2375701791792188	0.3184018320843809	0.6729705403936722	60.0	117593	0.0001524948909243	120025	55.140908291626864	42.51613616456762	WE_0.6_6	26672.222222222223
59975	1000	0.500364121402731	47189	7.921772859430193e-05	0.2173122684436142	0.3356385618447346	0.7267866596082584	60.0	117593	0.0001524948909243	125025	51.94779189922265	40.12908931654095	WE_0.6_6	27783.333333333332
54975	1000	0.4991077580794523	46602	7.408573583292251e-05	0.2695988783796002	0.3608628328912995	0.7883567718231345	60.0	117593	0.0001524948909243	130025	48.582437997676536	39.62990994361909	WE_0.6_6	28894.444444444445
49975	1000	0.5002992552950745	45621	6.99572375838002e-05	0.2566612041365877	0.3089743198460763	0.599402603038212	60.0	117593	0.0001524948909243	135025	45.875135330617525	38.795676613403856	WE_0.6_6	30005.555555555555
44975	1000	0.5020916862285744	44334	6.90067373836976e-05	0.2761288486119488	0.3444108643479142	0.7337987018603261	60.0	117593	0.0001524948909243	140025	45.2518356290069	37.7012237122958	WE_0.6_6	31116.666666666668
39975	1000	0.5031657182682473	43695	6.772028088544875e-05	0.2624243978891627	0.4062484472111861	0.8480706097626608	60.0	117593	0.0001524948909243	145025	44.40822933475573	37.157824020137255	WE_0.6_6	32227.777777777777
34975	1000	0.5046248747500657	44650	6.72178236368256e-05	0.2728709982211021	0.3445647551239691	0.7434919012258022	60.0	117593	0.0001524948909243	150025	44.0787381330652	37.969947190734146	WE_0.6_6	33338.88888888889
